height (mm),err (mm),-12.5,err,-6.25,err,centre,err,6.25,err,12.5,err
3,0.5,1200,2,2838.5,2,3023,3,2923.5,1,1744.5,2
4,0.5,1112,2,2464.5,5,2803,3,2784,1,1544.5,1
5,0.5,1016.5,2,2225,3,2651,3,2521,1,1395,1
6,0.5,934.5,1,2006,3,2381,2,2263,1,1302.5,1
7,0.5,860.5,1,1807.5,2,2164,1,2012,1,1205,1
8,0.5,814.5,1,1684,2,1994,1,1798.5,1,1099,1
9,0.5,742,1,1537,2,1781,1,1512,0.5,967.5,1
10,0.5,687,1,1399,1,1594,1,1365.5,0.5,862,1
11,0.5,626,0.5,1271.5,1,1419,1,1192,0.5,771.5,0.5
12,0.5,581.5,0.5,1153,2,1253,1,1056.5,0.5,720.5,0.5
13,0.5,530,0.5,1050,1,1159,0.5,938,0.5,653.5,0.5
14,0.5,489,0.5,927.5,1,1071,0.5,847.5,0.5,588,0.5
15,0.5,453,0.5,824.5,1,939,0.5,776.5,0.5,519.5,0.5
16,0.5,420.5,0.5,749,0.5,837,0.5,698.5,0.5,475.5,0.5
17,0.5,392,0.5,664,0.5,765,0.5,643,0.5,441.5,0.5
18,0.5,363,0.5,601,0.5,691,0.5,584,0.5,412.5,0.5
19,0.5,334.5,0.5,549.5,0.5,605.5,0.5,536,0.5,377,0.5
20,0.5,314,0.5,501.5,0.5,556,0.5,480,0.5,342,0.5
22,0.5,274,0.5,417.5,0.5,449,0.5,401,0.5,297,0.5
24,0.5,239,0.5,353.5,0.5,369.5,0.5,334.5,0.5,259.5,0.5
26,0.5,215,0.5,295.5,0.5,307.5,0.5,284,0.5,221.5,0.5
28,0.5,186.5,0.5,248,0.5,270,0.5,247,0.5,193,0.5
30,0.5,165,0.5,208.5,0.5,232.5,0.5,215,0.5,171,0.5
